Release_Date,Title,Popularity,Vote_Count,Vote_Average,Original_Language,Genre
16-07-2010,The Secret World of Arrietty,39.15,2138.00,7.60,ja,"Fantasy, Animation, Family"
04-09-2013,About Time,39.13,6761.00,7.90,en,"Drama, Romance, Fantasy"
28-02-2013,Stoker,39.13,1827.00,6.60,en,"Drama, Horror, Thriller"
27-01-2015,The Witch,39.07,5316.00,6.90,en,"Drama, Fantasy, Horror, Mystery"
07-11-2014,Skin Trade,39.05,183.00,6.00,en,"Thriller, Action, Drama"
16-04-2004,Kill Bill: Vol. 2,39.02,11494.00,7.90,en,"Action, Crime, Thriller"
01-09-2020,The Boss Baby: Get That Baby!,39.02,40.00,6.90,en,"Comedy, Family, Animation"
30-03-1988,Beetlejuice,39.00,5302.00,7.40,en,"Fantasy, Comedy"
12-01-1990,Leatherface: The Texas Chainsaw Massacre III,38.99,355.00,5.30,en,Horror
03-10-2017,The Outlaws,38.96,168.00,7.80,ko,"Crime, Action"
19-03-1991,The Last Boy Scout,38.96,1403.00,6.80,en,"Action, Thriller"
09-09-2005,Green Street Hooligans,38.95,1866.00,7.20,en,"Crime, Drama"
20-06-2007,Live Free or Die Hard,38.91,4732.00,6.60,en,"Action, Thriller"
14-02-2018,I Can Only Imagine,38.89,358.00,7.50,en,"Music, Drama"
17-07-2015,Trainwreck,38.89,2257.00,5.80,en,"Comedy, Romance"
29-09-2009,Superman/Batman: Public Enemies,38.86,476.00,7.00,en,"Science Fiction, Animation, Action, Adventure, Family"
01-11-2019,The Irishman,38.84,5246.00,7.60,en,"Crime, Drama, History"
13-03-2007,Barbie Fairytopia: Magic of the Rainbow,38.84,343.00,6.80,en,"Animation, Family, Fantasy, Romance"
21-11-2007,Hitman,38.83,2621.00,6.10,en,"Action, Thriller, Drama"
07-10-2020,Sky Sharks,38.82,54.00,5.20,en,"Horror, Science Fiction, Comedy"
13-05-2021,Finding You,38.81,45.00,6.50,en,"Romance, Drama"
20-07-2013,The Wind Rises,38.79,2179.00,7.80,ja,"Family, Drama, Animation, War, History, Romance"
13-09-2012,Barbie: The Princess & The Popstar,38.79,469.00,7.10,en,"Family, Animation"
16-10-2008,Sex Drive,38.74,1011.00,6.30,en,"Comedy, Adventure, Romance"
31-07-1991,Double Impact,38.74,763.00,6.00,en,"Thriller, Action, Crime, Drama"
02-06-1989,Dead Poets Society,38.74,8927.00,8.30,en,Drama
07-07-2016,Star Trek Beyond,38.74,5645.00,6.80,en,"Action, Adventure, Science Fiction"
09-04-2021,Sugar Daddy,38.73,22.00,6.20,en,Drama
27-06-2003,Charlie's Angels: Full Throttle,38.72,2508.00,5.40,en,"Action, Adventure, Comedy"
26-01-2006,Bambi II,38.71,784.00,6.50,en,"Animation, Drama, Family"
03-08-2012,ParaNorman,38.65,2035.00,6.90,en,"Family, Animation, Adventure, Comedy"
12-12-2000,Batman Beyond: Return of the Joker,38.65,693.00,7.40,en,"Animation, Family, Action, Science Fiction"
01-01-2020,Invasion,38.64,616.00,6.90,ru,"Science Fiction, Drama, Romance, Action"
19-11-2021,A House on the Bayou,38.63,24.00,5.80,en,"Horror, Thriller"
10-07-2008,Journey to the Center of the Earth,38.63,3964.00,6.00,en,"Action, Science Fiction, Adventure, Comedy, Family"
13-04-1984,Friday the 13th: The Final Chapter,38.61,940.00,6.10,en,Horror
03-03-2008,Horton Hears a Who!,38.57,2670.00,6.50,en,"Animation, Comedy, Family, Adventure, Fantasy"
28-06-2005,War of the Worlds,38.55,6742.00,6.50,en,"Adventure, Thriller, Science Fiction"
06-03-2017,How to Be a Latin Lover,38.54,520.00,6.90,en,Comedy
20-05-1994,The Return of Jafar,38.52,2381.00,6.10,en,"Family, Adventure, Animation, Romance"
19-05-1995,Die Hard: With a Vengeance,38.52,4898.00,7.20,en,"Action, Thriller"
21-07-2019,Lego DC Batman: Family Matters,38.52,98.00,7.00,en,"Animation, Family, Action, Comedy"
07-10-1962,Dr. No,38.50,2717.00,7.00,en,"Adventure, Action, Thriller"
08-01-2020,Underwater,38.49,2358.00,6.30,en,"Action, Horror, Science Fiction, Thriller"
03-06-2010,High School,38.45,111.00,5.80,en,Comedy
04-02-2010,From Paris with Love,38.44,1587.00,6.20,en,"Action, Crime, Thriller"
05-03-2015,Superfast!,38.42,286.00,5.00,en,"Comedy, Action"
29-09-2017,The Ash Lad: In the Hall of the Mountain King,38.42,218.00,6.60,no,"Adventure, Fantasy"
30-04-2010,A Nightmare on Elm Street,38.40,2187.00,5.50,en,"Horror, Mystery, Thriller"
19-05-2017,Time Trap,38.39,762.00,6.10,en,"Science Fiction, Adventure"
05-10-2016,The Girl on the Train,38.36,4942.00,6.40,en,"Crime, Drama, Mystery, Thriller"
25-10-2018,Euphoria,38.36,179.00,6.50,it,Drama
06-10-2021,Fever Dream,38.34,83.00,6.00,es,"Thriller, Drama, Mystery, Horror"
28-07-1989,Friday the 13th Part VIII: Jason Takes Manhattan,38.33,734.00,5.00,en,"Horror, Thriller"
14-09-2013,"Love, Chunibyo & Other Delusions! Rikka Version",38.31,59.00,7.00,ja,"Comedy, Animation, Drama, Romance"
09-08-2013,Planes,38.30,1335.00,5.90,en,"Animation, Family, Adventure, Comedy"
12-03-2021,Yes Day,38.29,798.00,6.90,en,"Comedy, Family"
30-10-2020,Spell,38.26,260.00,6.40,en,"Thriller, Horror"
27-08-2020,The Owners,38.26,231.00,5.80,en,"Thriller, Horror"
17-06-2017,The Irregular at Magic High School: The Girl Who Summons the Stars,38.26,36.00,6.00,ja,"Science Fiction, Action, Animation, Fantasy"
05-09-2014,Big Game,38.26,943.00,5.50,en,"Action, Adventure, Thriller"
28-02-2014,Son of God,38.25,227.00,6.80,en,Drama
08-12-2004,Blade: Trinity,38.25,3101.00,5.90,en,"Action, Horror, Fantasy"
16-06-2006,Nacho Libre,38.23,1217.00,6.30,en,"Comedy, Family"
12-02-2016,The Last King,38.22,190.00,5.70,no,"Action, Adventure, Drama, History"
03-11-2018,Godzilla: The Planet Eater,38.22,219.00,6.50,ja,"Animation, Science Fiction, Action, Adventure, Fantasy"
10-03-2022,The Contractor,38.13,2.00,5.00,en,"Action, Thriller"
15-05-2013,Epic,38.13,2274.00,6.50,en,"Animation, Adventure, Family, Fantasy"
02-12-2021,Toys of Terror,38.13,4.00,6.30,en,Horror
30-06-2013,Assault on Wall Street,38.11,382.00,5.90,en,"Drama, Thriller, Action"
19-06-2019,Child's Play,38.10,1507.00,6.00,en,Horror
31-10-2012,A Werewolf Boy,38.07,199.00,7.70,ko,"Romance, Fantasy"
29-06-2007,The Secret of the Magic Gourd,38.07,86.00,7.30,zh,"Drama, Family, Fantasy"
31-10-2020,LEGO Hidden Side: Night of the Harbinger,38.07,3.00,5.20,en,Animation
07-04-2016,Phantom of the Kill: Zero's Rebellion,38.02,4.00,6.80,ja,"Action, Adventure, Animation, Fantasy, Mystery"
11-06-2008,The Happening,38.01,2725.00,5.30,en,"Thriller, Science Fiction"
06-11-2020,461 Days of Bento: A Promise Between Father and Son,38.00,2.00,5.00,ja,"Drama, Family"
20-05-1996,Aladdin and the King of Thieves,37.97,1550.00,6.30,en,"Adventure, Animation, Family"
28-01-2019,Sweetheart,37.97,236.00,6.50,en,"Horror, Thriller"
22-09-1995,The Return of the Texas Chainsaw Massacre,37.96,399.00,4.20,en,Horror
27-08-2016,Don't Kill It,37.94,160.00,6.20,en,"Fantasy, Horror"
14-03-2001,Enemy at the Gates,37.94,2763.00,7.40,en,"Drama, War, History"
15-10-2010,Scooby-Doo! Curse of the Lake Monster,37.94,396.00,6.20,en,"Mystery, Fantasy, Comedy, Adventure"
10-03-2012,Iron Sky,37.94,1274.00,5.70,en,"Action, Comedy, Science Fiction"
01-11-1985,A Nightmare on Elm Street Part 2: Freddy's Revenge,37.91,1351.00,5.80,en,Horror
05-06-2008,You Don't Mess with the Zohan,37.91,2997.00,5.70,en,"Comedy, Action"
30-07-2021,The Most Beautiful Boy in the World,37.90,17.00,7.40,en,Documentary
12-08-2004,AVP: Alien vs. Predator,37.87,3415.00,5.90,en,"Adventure, Science Fiction, Action, Horror"
22-01-2021,The Sadness,37.87,17.00,6.40,zh,"Thriller, Horror"
14-06-2010,Unthinkable,37.86,918.00,6.70,en,"Drama, Thriller"
10-05-2013,The Great Gatsby,37.85,10285.00,7.40,en,"Drama, Romance"
26-01-2006,Big Momma's House 2,37.82,1281.00,5.70,en,"Comedy, Crime"
21-08-2020,The Unfamiliar,37.81,66.00,6.00,en,"Thriller, Horror"
24-11-2011,Ice Age: A Mammoth Christmas,37.81,508.00,6.40,en,"Animation, Family, TV Movie"
03-03-2007,5 Centimeters per Second,37.81,1449.00,7.30,ja,"Animation, Drama, Romance"
20-04-2018,Inuyashiki,37.80,108.00,7.70,ja,"Action, Adventure, Science Fiction, Fantasy"
02-03-2018,Death Wish,37.79,2104.00,6.10,en,"Action, Crime, Drama, Thriller"
24-10-2009,I Give My First Love to You,37.79,80.00,7.40,ja,"Drama, Comedy, Romance"
12-11-2016,In This Corner of the World,37.79,432.00,8.10,ja,"Drama, Animation, Romance, War, History"
24-03-2017,Daytime Shooting Star,37.79,52.00,7.80,ja,Romance
21-01-1981,The Howling,37.78,530.00,6.50,en,Horror
05-12-2003,The Last Samurai,37.76,5462.00,7.50,en,"Drama, Action, War, History"
24-01-2008,Meet the Spartans,37.75,1291.00,4.00,en,Comedy
13-02-1991,Paprika,37.71,267.00,7.00,it,Drama
18-10-2019,The Lighthouse,37.68,3225.00,7.50,en,"Drama, Fantasy, Thriller, Horror"
26-08-2004,Anacondas: The Hunt for the Blood Orchid,37.68,713.00,5.40,en,"Adventure, Action, Horror, Thriller"
24-04-2008,Outlander,37.66,961.00,6.40,en,"Fantasy, Action, Science Fiction"
14-11-2019,Charlie's Angels,37.66,2381.00,6.60,en,"Action, Adventure, Comedy, Science Fiction"
06-10-2016,Mine,37.64,1075.00,6.60,en,Thriller
11-01-1982,"Love, Strange Love",37.62,35.00,5.80,pt,Drama
22-10-2020,The Empty Man,37.61,380.00,6.10,en,"Horror, Mystery, Thriller"
27-03-2019,Dumbo,37.60,3709.00,6.70,en,"Family, Fantasy, Adventure"
10-10-1963,From Russia with Love,37.60,2220.00,7.10,en,"Action, Thriller, Adventure"
16-11-1990,Rocky V,37.60,2424.00,5.70,en,Drama
05-12-2021,The Tragedy of Macbeth,37.59,312.00,7.00,en,"Drama, War"
04-12-2010,Bleach the Movie: Hell Verse,37.58,116.00,7.30,ja,"Action, Animation, Fantasy, Adventure"
16-09-2021,Cry Macho,37.57,541.00,6.20,en,"Western, Drama"
16-07-1993,Free Willy,37.56,1430.00,6.20,en,"Family, Adventure, Drama"
12-12-2013,Odnoklassniki.ru: The Magic Laptop,37.54,15.00,3.60,ru,"Comedy, Romance"
21-10-1988,Halloween 4: The Return of Michael Myers,37.54,1110.00,6.10,en,"Horror, Thriller"
29-03-2012,Sinister,37.53,4293.00,6.80,en,"Horror, Thriller, Mystery"
22-03-2002,Blade II,37.53,3753.00,6.50,en,"Fantasy, Horror, Action, Thriller"
19-11-2021,C'mon C'mon,37.50,140.00,7.70,en,Drama
17-03-2005,The Ring Two,37.48,1843.00,5.70,en,"Drama, Horror, Thriller"
19-11-1999,Sleepy Hollow,37.45,5399.00,7.10,en,"Drama, Fantasy, Thriller, Mystery, Horror"
13-12-2002,The Hot Chick,37.44,1549.00,6.30,en,"Comedy, Fantasy"
20-02-2020,Brahms: The Boy II,37.42,967.00,6.00,en,"Horror, Mystery, Thriller"
31-08-2017,Escape Room,37.41,147.00,5.00,en,"Horror, Thriller, Fantasy"
15-04-2004,The Punisher,37.40,2180.00,6.30,en,"Action, Crime, Drama"
29-12-1995,Twelve Monkeys,37.40,6721.00,7.60,en,"Science Fiction, Thriller, Mystery"
17-11-2002,Die Another Day,37.39,2776.00,5.90,en,"Adventure, Action, Thriller"
13-09-2000,Men of Honor,37.37,1717.00,7.40,en,Drama
20-05-1980,The Empire Strikes Back,37.37,13926.00,8.40,en,"Adventure, Action, Science Fiction"
31-03-2017,Teen Titans: The Judas Contract,37.36,521.00,7.50,en,"Science Fiction, Animation, Action"
20-01-2016,Lion,37.36,5626.00,8.10,en,Drama
10-08-2006,Codename: Kids Next Door - Operation Z.E.R.O.,37.35,105.00,8.10,en,"Animation, Science Fiction, TV Movie"
16-08-2019,Iron Mask,37.32,280.00,6.20,ru,"Adventure, Fantasy"
06-06-2007,Big Stan,37.32,600.00,6.30,en,Comedy
10-09-2015,Everest,37.30,4081.00,6.80,en,"Drama, Adventure, History"
24-10-2014,Ouija,37.24,2300.00,5.10,en,Horror
16-06-2010,A Serbian Film,37.19,1417.00,5.50,sr,"Crime, Horror, Thriller"
02-09-2020,Antebellum,37.19,663.00,6.30,en,Horror
25-08-2021,Kimetsu no Yaiba Orchestra Concert,37.18,1.00,2.00,ja,Music
23-11-2013,Bayonetta: Bloody Fate,37.15,66.00,6.50,ja,"Animation, Action, Fantasy"
27-12-2011,Hostel: Part III,37.14,859.00,5.10,en,Horror
09-05-2008,The Babysitters,37.12,324.00,5.90,en,Drama
09-01-2019,The Dude in Me,37.12,81.00,8.10,ko,"Fantasy, Comedy"
07-10-2020,Books of Blood,37.09,227.00,6.60,en,"Horror, Science Fiction"
17-12-2020,What Lies Below,37.09,106.00,5.30,en,"Horror, Mystery, Thriller, Science Fiction"
04-06-2014,The Rover,37.08,732.00,6.30,en,"Crime, Drama"
07-07-1995,Species,37.08,1225.00,5.90,en,"Science Fiction, Horror, Action"
26-03-2021,A Week Away,37.07,276.00,7.10,en,"Drama, Family, Music, Romance"
14-10-2014,The Loft,37.07,1200.00,6.40,en,Thriller
14-08-2019,Good Boys,37.07,1427.00,6.90,en,Comedy
29-07-2005,Semen Demon,37.03,10.00,6.30,en,"Horror, Fantasy"
19-06-2009,Transformers: Revenge of the Fallen,37.03,6945.00,6.10,en,"Science Fiction, Action, Adventure"
01-10-2010,The Social Network,37.03,9796.00,7.30,en,Drama
03-08-1978,Piranha,37.02,455.00,5.90,en,"Horror, Comedy"
24-09-2010,The Virginity Hit,36.96,58.00,4.60,en,Comedy
08-08-2003,S.W.A.T.,36.95,1944.00,6.10,en,"Action, Thriller, Crime"
07-04-1994,Leprechaun 2,36.94,212.00,5.50,en,"Comedy, Horror"
23-10-2013,The Protector 2,36.94,190.00,5.90,th,Action
24-10-2019,21 Bridges,36.93,1486.00,6.80,en,"Crime, Action, Drama"
11-09-2008,Tinker Bell,36.92,1097.00,6.80,en,"Animation, Family, Adventure, Fantasy"
07-06-1990,Lionheart,36.86,764.00,6.50,en,Action
12-08-2014,Batman: Assault on Arkham,36.85,878.00,7.40,en,"Thriller, Animation, Action, Crime"
25-04-2001,Amélie,36.85,9515.00,7.90,fr,"Comedy, Romance"
07-07-2022,Thor: Love and Thunder,36.83,0.00,0.00,en,"Action, Adventure, Fantasy"
21-03-2014,God's Not Dead,36.82,734.00,6.00,en,Drama
22-06-1960,Psycho,36.79,8012.00,8.40,en,"Horror, Drama, Thriller"
12-11-2020,Freaky,36.78,978.00,6.70,en,"Comedy, Fantasy, Horror, Thriller"
14-09-2012,The Paperboy,36.77,599.00,5.60,en,"Thriller, Drama, Mystery"
07-11-2017,I Believe,36.77,54.00,7.00,en,Family
12-05-2021,Danny Boy,36.76,86.00,6.80,en,"Drama, War, TV Movie"
14-08-2017,Batman and Harley Quinn,36.74,470.00,6.20,en,"Adventure, Action, Animation, Science Fiction"
10-05-2002,Unfaithful,36.74,1152.00,6.60,en,"Thriller, Drama"
21-08-2013,Young & Beautiful,36.73,970.00,6.40,fr,Drama
05-10-2018,Anoko no Toriko,36.71,11.00,5.90,ja,"Romance, Comedy"
02-11-2000,Charlie's Angels,36.71,3431.00,5.80,en,"Action, Adventure, Comedy, Crime, Thriller"
04-10-2012,Frankenweenie,36.70,2638.00,6.90,en,"Animation, Comedy, Family"
25-05-2017,47 Meters Down,36.69,2308.00,5.80,en,"Horror, Drama, Thriller, Adventure"
22-06-1984,The Karate Kid,36.69,3202.00,7.20,en,"Action, Family, Drama"
28-01-2022,The Black Phone,36.69,5.00,8.20,en,Horror
20-03-1986,Police Academy 3: Back in Training,36.69,923.00,5.70,en,"Comedy, Crime"
08-09-2021,JJ+E,36.67,64.00,5.50,sv,"Romance, Drama"
20-10-2006,Night at the Museum,36.66,8493.00,6.60,en,"Action, Adventure, Comedy, Family, Fantasy"
23-04-2004,Man on Fire,36.64,4024.00,7.40,en,"Action, Drama, Thriller"
11-04-2003,Anger Management,36.63,2464.00,6.10,en,Comedy
28-07-1999,Deep Blue Sea,36.62,1884.00,5.90,en,"Action, Horror, Science Fiction"
26-03-2019,Aquaman: Heroines of Atlantis,36.62,18.00,7.40,en,Documentary
01-04-2016,Garo: Divine Flame,36.61,10.00,5.30,ja,"Action, Animation"
16-01-2018,12 Strong,36.61,2271.00,6.10,en,"War, Drama, Action, History"
03-08-2007,The Bourne Ultimatum,36.59,6322.00,7.40,en,"Action, Drama, Mystery, Thriller"
11-09-2020,The Boy from Medellín,36.59,81.00,5.90,en,"Documentary, Music"
17-12-2016,The Moment You Fall in Love,36.59,116.00,7.60,ja,"Drama, Animation, Romance, Comedy"
23-11-2007,[REC],36.56,3337.00,7.20,es,"Horror, Mystery"
08-03-2014,Doraemon: New Nobita's Great Demon – Peko and the Exploration Party of Five,36.53,53.00,7.00,ja,"Family, Animation, Adventure"
13-12-2006,Arthur and the Invisibles,36.53,2412.00,6.40,en,"Adventure, Fantasy, Animation, Family"
12-10-2011,A Monster in Paris,36.53,1010.00,6.80,fr,"Adventure, Animation, Comedy, Family, Fantasy"
19-07-2019,Tokyo Ghoul 'S',36.51,67.00,6.90,ja,"Action, Horror, Science Fiction, Fantasy"
26-10-2018,The Nutcracker and the Four Realms,36.50,1812.00,6.10,en,"Fantasy, Adventure, Family"
26-02-2014,The Grand Budapest Hotel,36.50,12055.00,8.10,en,"Comedy, Drama"
31-05-2018,Upgrade,36.47,3262.00,7.50,en,"Action, Thriller, Science Fiction"
04-08-2010,Step Up 3D,36.47,1647.00,6.80,en,"Drama, Romance"
17-06-2021,Impossible Things,36.47,82.00,9.10,es,"Family, Drama"
13-05-2016,Kill Command,36.46,467.00,5.50,en,"Action, Horror, Science Fiction"
10-02-2017,Below Her Mouth,36.45,944.00,6.80,en,"Drama, Romance"
02-08-2016,A Cinderella Story: If the Shoe Fits,36.43,735.00,7.20,en,"Comedy, Family, Fantasy, Music"
03-05-2005,Kingdom of Heaven,36.43,3228.00,6.80,en,"Drama, Action, Adventure, History, War"
16-04-2015,Paul Blart: Mall Cop 2,36.41,1288.00,5.20,en,"Action, Comedy, Family"
15-01-2014,Jack Ryan: Shadow Recruit,36.40,2385.00,6.10,en,"Action, Drama, Thriller"
04-10-2006,The Departed,36.40,12139.00,8.20,en,"Drama, Thriller, Crime"
17-08-2016,Ben-Hur,36.38,1434.00,5.70,en,"Action, History, Adventure, Drama"
13-03-2009,Miss March,36.37,272.00,5.50,en,"Comedy, Romance"
07-02-2009,Blood and Bone,36.35,536.00,7.40,en,"Action, Drama, Thriller"
13-01-2011,Gnomeo & Juliet,36.34,1620.00,5.80,en,"Animation, Family"
26-02-2015,Everly,36.30,436.00,5.50,en,"Thriller, Action"
13-01-2011,The Mechanic,36.30,2549.00,6.40,en,"Action, Thriller, Crime"
20-09-1964,Goldfinger,36.30,2750.00,7.40,en,"Adventure, Action, Thriller"
16-02-2018,"Love, Simon",36.30,5287.00,8.10,en,"Comedy, Drama, Romance"
23-06-2017,The Beguiled,36.25,1864.00,5.90,en,Drama
11-07-2013,Turbo,36.22,2626.00,6.20,en,"Animation, Family"
13-07-2001,Legally Blonde,36.21,3006.00,6.70,en,Comedy
21-07-2016,Lights Out,36.21,3226.00,6.30,en,"Horror, Thriller, Mystery"
25-05-1990,Back to the Future Part III,36.20,8486.00,7.40,en,"Adventure, Comedy, Science Fiction"
04-06-1982,Poltergeist,36.18,2256.00,7.10,en,Horror
23-04-2016,I Am a Hero,36.17,251.00,7.30,ja,"Action, Science Fiction, Fantasy, Horror"
03-11-2002,Home Alone 4,36.16,959.00,4.50,en,"Comedy, Family, TV Movie"
21-07-2017,Girls Trip,36.15,1311.00,6.80,en,Comedy
26-09-2014,Playing It Cool,36.14,632.00,5.90,en,"Comedy, Romance"
02-10-2020,The Binding,36.14,188.00,5.50,it,"Horror, Thriller, Drama"
20-05-1998,Godzilla,36.13,3085.00,5.60,en,"Science Fiction, Action, Thriller"
23-10-2020,Haunting of the Mary Celeste,36.12,28.00,5.80,en,Horror
20-02-2020,Lassie Come Home,36.12,80.00,6.60,de,"Adventure, Family"
11-06-2001,Lara Croft: Tomb Raider,36.11,5142.00,5.90,en,"Adventure, Fantasy, Action, Thriller"
17-03-2015,Avengers Grimm,36.11,89.00,4.20,en,"Action, Fantasy"
11-06-1982,E.T. the Extra-Terrestrial,36.10,9309.00,7.50,en,"Science Fiction, Adventure, Family, Fantasy"
12-10-2017,Los perros,36.10,16.00,5.70,es,Drama
26-07-2017,Atomic Blonde,36.09,5315.00,6.40,en,"Action, Thriller"
15-05-2012,The Dictator,36.07,4735.00,6.10,en,Comedy
21-11-2018,Robin Hood,36.07,2453.00,5.90,en,"Adventure, Action, Thriller"
05-10-2001,Training Day,36.06,4563.00,7.40,en,"Action, Crime, Drama, Thriller"
21-09-2017,The Lego Ninjago Movie,36.05,780.00,6.50,en,"Family, Animation, Action, Adventure, Comedy"
09-06-2009,Baby on Board,36.00,79.00,4.80,en,"Comedy, Romance"
24-12-2011,Pixie Hollow Games,35.98,237.00,6.90,en,"Animation, Family"
20-03-1992,Basic Instinct,35.98,2889.00,6.90,en,"Thriller, Mystery"
03-10-2017,Sniper: Ultimate Kill,35.95,219.00,6.50,en,"Action, Drama, Thriller"
01-02-2017,Trinity Seven: Eternity Library & Alchemic Girl,35.94,44.00,7.40,ja,"Animation, Action, Comedy, Fantasy"
18-12-2017,Bleeding Steel,35.91,375.00,5.90,zh,"Action, Science Fiction, Thriller"
31-08-2007,Halloween,35.91,1750.00,6.20,en,Horror
14-10-2021,A World For Julius,35.91,29.00,7.20,es,"Drama, TV Movie"
20-02-2015,The DUFF,35.89,3946.00,6.80,en,"Romance, Comedy"
01-05-2018,Tremors: A Cold Day in Hell,35.89,298.00,6.00,en,"Action, Adventure, Science Fiction, Fantasy, Comedy, Horror"
27-05-2017,Resident Evil: Vendetta,35.89,730.00,6.90,ja,"Animation, Horror, Adventure, Mystery, Action, Science Fiction"
06-08-2004,The Princess Diaries 2: Royal Engagement,35.89,2712.00,6.60,en,"Comedy, Drama, Family, Romance"
17-08-2011,The Skin I Live In,35.87,3422.00,7.50,es,"Thriller, Drama, Horror"
17-07-1987,RoboCop,35.86,3868.00,7.30,en,"Action, Thriller, Science Fiction"
04-10-2013,Curse of Chucky,35.86,1195.00,5.80,en,"Horror, Thriller"
12-01-2006,Underworld: Evolution,35.86,3322.00,6.60,en,"Fantasy, Action, Thriller"
21-11-2003,Oldboy,35.85,6500.00,8.30,ko,"Drama, Thriller, Mystery, Action"
09-05-2006,Cashback,35.84,926.00,7.00,en,"Drama, Comedy, Romance"
06-01-2018,"Love, Chunibyo & Other Delusions! Take On Me",35.84,68.00,7.90,ja,"Animation, Comedy, Fantasy"
14-07-2022,Bullet Train,35.83,0.00,0.00,en,"Action, Thriller"
23-05-1984,Once Upon a Time in America,35.82,4053.00,8.40,en,"Drama, Crime"
12-06-2009,Seven Minutes,35.81,8.00,3.80,es,Comedy
04-07-2001,Cats & Dogs,35.78,1298.00,5.40,en,"Family, Comedy"
12-02-2020,To All the Boys: P.S. I Still Love You,35.78,2158.00,6.90,en,"Romance, Comedy"
26-04-2014,Tamako Love Story,35.77,105.00,7.00,ja,"Romance, Animation, Comedy"
22-10-2021,Little Big Mouth,35.77,22.00,5.60,en,Comedy
19-04-2018,I Feel Pretty,35.77,1804.00,6.40,en,"Comedy, Romance"
14-10-2020,The Three Deaths of Marisela Escobedo,35.77,183.00,9.00,es,"Documentary, Crime"
24-12-2013,Lone Survivor,35.76,3421.00,7.40,en,"War, Action, Drama, History"
03-11-2017,Murder on the Orient Express,35.76,8138.00,6.70,en,"Mystery, Crime, Drama"
01-02-2013,Berserk: The Golden Age Arc III - The Advent,35.75,233.00,7.60,ja,"Action, Adventure, Drama, Fantasy, Animation"
13-03-2009,The Last House on the Left,35.75,1303.00,6.40,en,"Crime, Thriller, Horror, Drama"
19-12-1986,Platoon,35.74,3466.00,7.70,en,"Drama, War, Action"
15-05-1998,Quest for Camelot,35.74,655.00,6.90,en,"Fantasy, Animation, Drama, Romance, Family"
26-06-2009,My Sister's Keeper,35.73,1733.00,7.40,en,Drama
22-05-2007,Death Proof,35.70,4015.00,6.80,en,"Action, Thriller"
30-11-1991,Sex and Zen,35.70,41.00,5.50,cn,"Drama, Adventure, Comedy, Romance"
16-01-2020,The Heist of the Century,35.69,598.00,7.90,es,"Comedy, Thriller, Crime"
21-08-2017,Renegades,35.66,264.00,5.70,en,"Thriller, Action"
06-06-2002,Jack Black: Spider-Man,35.66,21.00,6.70,en,Comedy
27-10-2017,Let There Be Light,35.65,49.00,6.20,en,Drama
25-12-2018,On the Basis of Sex,35.64,810.00,7.40,en,"Drama, History"
24-12-1981,Mad Max 2,35.63,2762.00,7.40,en,"Adventure, Action, Thriller, Science Fiction"
25-07-2018,The Darkest Minds,35.61,2226.00,7.00,en,"Science Fiction, Action, Drama, Romance, Adventure, Thriller"
18-01-2013,Broken City,35.60,1189.00,5.90,en,"Thriller, Crime, Drama"
23-12-2010,Inazuma Eleven: The Movie,35.59,72.00,7.50,ja,"Fantasy, Animation"
20-10-2017,The Killing of a Sacred Deer,35.57,2862.00,7.00,en,"Drama, Thriller, Mystery"
09-04-2004,Shaun of the Dead,35.57,6761.00,7.50,en,"Horror, Comedy"
10-09-2021,Blue Bayou,35.56,114.00,7.60,en,Drama
07-03-2013,Oz the Great and Powerful,35.55,5852.00,5.90,en,"Fantasy, Adventure, Family"
12-01-2018,Batman: Gotham by Gaslight,35.54,536.00,6.70,en,"Thriller, Action, Animation, Science Fiction"
15-03-2015,Child 44,35.53,1348.00,6.20,en,"Crime, Thriller"
13-05-1988,Friday the 13th Part VII: The New Blood,35.53,728.00,5.50,en,"Horror, Thriller"
16-01-2004,Torque,35.52,417.00,5.10,en,Action
18-12-2013,Walking with Dinosaurs,35.52,376.00,6.00,en,"Animation, Family, Adventure"
07-06-2021,Security,35.51,138.00,5.70,it,Thriller
13-02-2018,Lego DC Comics Super Heroes: The Flash,35.51,163.00,6.80,en,"Adventure, Animation, Comedy, Family, Science Fiction"
26-05-2019,Game of Thrones: The Last Watch,35.50,270.00,7.10,en,"Documentary, TV Movie"
25-05-1983,Return of the Jedi,35.50,12482.00,7.90,en,"Adventure, Action, Science Fiction"
19-03-2021,Happily,35.49,61.00,5.70,en,"Comedy, Romance, Thriller"
11-11-2016,Lady Bloodfight,35.45,119.00,6.60,en,"Action, Thriller"
04-10-2018,Constantine: City of Demons - The Movie,35.45,417.00,7.90,en,"Fantasy, Animation, Horror, Action"
01-09-2012,The Iceman,35.44,806.00,6.50,en,"Thriller, Crime, Drama"
29-01-2021,Malcolm & Marie,35.44,1047.00,7.00,en,"Drama, Romance"
08-10-1993,Demolition Man,35.44,2837.00,6.60,en,"Crime, Action, Science Fiction"
07-02-2012,Puss in Boots: The Three Diablos,35.43,322.00,6.60,en,"Adventure, Animation, Comedy, Family"
02-08-1991,Return to the Blue Lagoon,35.43,707.00,6.00,en,"Adventure, Drama"
17-10-2019,The Kill Team,35.43,298.00,6.60,en,"War, Action, Drama"
16-07-1999,Eyes Wide Shut,35.42,4652.00,7.50,en,"Drama, Thriller, Mystery"
27-10-2021,Passing,35.41,168.00,6.50,en,Drama
