Release_Date,Title,Popularity,Vote_Count,Vote_Average,Original_Language,Genre
09-08-2021,PAW Patrol: The Movie,339.37,855.00,7.50,en,"Animation, Family, Adventure, Comedy"
25-04-2018,Avengers: Infinity War,338.40,24079.00,8.30,en,"Adventure, Action, Science Fiction"
23-06-1989,Batman,338.27,6109.00,7.20,en,"Fantasy, Action"
07-07-2021,Black Widow,337.65,7127.00,7.50,en,"Action, Adventure, Science Fiction"
18-02-2022,The Wonderful Winter of Mickey Mouse,333.35,3.00,5.70,en,"Animation, Comedy"
19-05-2021,F9,331.94,5092.00,7.30,en,"Action, Crime, Thriller, Adventure"
03-02-2022,Moonfall,328.68,186.00,5.90,en,"Action, Adventure, Science Fiction"
04-02-2022,"Sex, Shame and Tears 2",325.62,5.00,2.20,es,"Comedy, Drama"
03-12-2021,Diary of a Wimpy Kid,324.71,189.00,6.50,en,"Animation, Comedy, Family"
15-02-2022,AI Love You,317.64,16.00,5.30,th,"Comedy, Romance, Science Fiction"
30-03-2022,Sonic the Hedgehog 2,317.16,0.00,0.00,en,"Action, Science Fiction, Comedy, Family"
17-02-2022,Erax,317.10,12.00,5.70,en,"Mystery, Family"
04-08-2020,Deathstroke: Knights & Dragons - The Movie,314.39,325.00,6.90,en,"Animation, Action, Adventure, Science Fiction"
13-10-2021,The Last Duel,312.92,1848.00,7.60,en,"Action, Drama, History"
26-01-2022,The Pirates: The Last Royal Treasure,311.94,38.00,6.60,ko,"Action, Adventure, Comedy, History"
29-10-2021,Paranormal Activity: Next of Kin,310.01,300.00,6.50,en,"Horror, Mystery, Thriller"
24-11-2021,House of Gucci,308.21,1276.00,6.80,en,"Drama, Crime, Thriller"
11-02-2021,Dark Spell,308.04,80.00,6.70,ru,"Romance, Horror, Thriller"
28-07-2021,Jungle Cruise,307.94,4034.00,7.60,en,"Action, Adventure, Comedy, Fantasy"
24-03-2021,Godzilla vs. Kong,307.52,7681.00,7.80,en,"Action, Fantasy, Science Fiction"
23-06-2012,The Amazing Spider-Man,306.38,14564.00,6.70,en,"Action, Adventure, Fantasy"
17-02-2022,Heart Shot,302.27,16.00,5.60,en,"Romance, Crime"
10-12-2009,Avatar,297.36,25011.00,7.50,en,"Action, Adventure, Fantasy, Science Fiction"
11-06-2021,Mobile Suit Gundam Hathaway,292.60,77.00,7.80,ja,"Animation, Action, Drama, Science Fiction"
27-10-2021,Army of Thieves,290.54,1167.00,6.90,en,"Crime, Comedy"
23-02-2022,UFO,290.48,15.00,5.20,tr,"Drama, Romance"
03-03-2022,The Weekend Away,290.21,119.00,5.90,en,"Thriller, Mystery"
25-11-2020,The Croods: A New Age,284.80,2877.00,7.60,en,"Animation, Family, Adventure, Fantasy, Comedy"
03-12-2021,Back to the Outback,282.25,341.00,7.70,en,"Animation, Family, Adventure, Comedy"
02-07-2021,The Tomorrow War,282.07,5182.00,8.00,en,"Action, Science Fiction, Adventure"
28-01-2022,Home Team,280.61,368.00,6.90,en,"Family, Comedy"
17-03-2021,The Fallout,279.34,130.00,7.40,en,Drama
03-03-2021,Raya and the Last Dragon,277.59,5048.00,8.00,en,"Family, Fantasy, Animation, Action, Adventure"
09-09-2021,Infinite,276.46,912.00,6.80,en,"Science Fiction, Action, Thriller"
22-04-2021,Wrath of Man,273.62,3376.00,7.70,en,"Action, Crime, Thriller"
17-12-2021,Fortress,273.35,163.00,6.20,en,"Crime, Action, Thriller"
08-07-2021,Space Jam: A New Legacy,271.57,2952.00,7.10,en,"Family, Animation, Comedy, Science Fiction"
13-01-2022,Laura y el misterio del asesino inesperado,266.75,8.00,7.30,es,"TV Movie, Mystery, Thriller, Comedy"
25-05-2021,The Conjuring: The Devil Made Me Do It,266.61,4233.00,7.70,en,"Horror, Mystery, Thriller"
10-06-2005,Batman Begins,265.81,17338.00,7.70,en,"Action, Crime, Drama"
20-01-2022,The Royal Treatment,264.99,390.00,6.80,en,"Romance, Comedy"
12-11-2021,Ciao Alberto,261.67,412.00,7.50,en,"Animation, Comedy, Family, Fantasy"
05-06-2021,Gone Mom: The Disappearance of Jennifer Dulos,257.85,113.00,7.80,en,"TV Movie, Thriller, Crime"
28-06-2021,Ripper Untold,257.47,75.00,6.60,en,Horror
26-05-2021,Meander,256.87,218.00,6.10,fr,"Horror, Science Fiction, Drama, Thriller"
18-11-2021,Zeros and Ones,256.44,117.00,5.30,en,"Thriller, War"
22-07-2021,Snake Eyes: G.I. Joe Origins,254.31,1028.00,6.80,en,"Action, Adventure"
08-10-2021,Survive the Game,252.22,107.00,5.80,en,"Action, Thriller, Crime"
